Jahr;Schulgemeinde;country_g;per_g;SG;rank
2004;Letzi;Bosnien-Herzegowina;0.02171361502347418;Letzi;802
2004;Letzi;Italien;0.05193661971830986;Letzi;421
2004;Letzi;Kroatien;0.02318075117370892;Letzi;748
2004;Letzi;Nordmazedonien;0.027875586854460094;Letzi;648
2004;Letzi;Portugal;0.05985915492957746;Letzi;381
2004;Letzi;Schweiz;0.545774647887324;Letzi;113
2004;Letzi;Serbien;0.1073943661971831;Letzi;272
2004;Letzi;Spanien;0.028169014084507043;Letzi;638
2004;Letzi;Türkei;0.03433098591549296;Letzi;547
2004;Limmattal;Andere;0.11232957913455839;Limmattal;263
2004;Limmattal;Bosnien-Herzegowina;0.025785417901600473;Limmattal;695
2004;Limmattal;Italien;0.05127445168938945;Limmattal;423
2004;Limmattal;Kroatien;0.021636040308239478;Limmattal;804
2004;Limmattal;Nordmazedonien;0.053052756372258446;Limmattal;414
2004;Limmattal;Portugal;0.08061647895672792;Limmattal;318
2004;Limmattal;Schweiz;0.3073503260225252;Limmattal;129
2004;Limmattal;Serbien;0.17634854771784234;Limmattal;164
2004;Limmattal;Spanien;0.034973325429756966;Limmattal;541
2004;Limmattal;Sri Lanka;0.0942501481920569;Limmattal;298
2004;Limmattal;Türkei;0.04238292827504446;Limmattal;469
2004;Schwamendingen;Andere;0.1276796973518285;Schwamendingen;228
2004;Schwamendingen;Bosnien-Herzegowina;0.023013871374527112;Schwamendingen;754
2004;Schwamendingen;Italien;0.06084489281210593;Schwamendingen;371
2004;Schwamendingen;Nordmazedonien;0.02269861286254729;Schwamendingen;764
2004;Schwamendingen;Portugal;0.047604035308953345;Schwamendingen;436
2004;Schwamendingen;Schweiz;0.5226986128625473;Schwamendingen;122
2004;Schwamendingen;Serbien;0.13114754098360656;Schwamendingen;222
2004;Schwamendingen;Sri Lanka;0.022068095838587643;Schwamendingen;784
2004;Schwamendingen;Türkei;0.04224464060529634;Schwamendingen;470
2004;Uto;Andere;0.13783978830887658;Uto;209
2004;Uto;Italien;0.03271590089006495;Uto;565
2004;Uto;Portugal;0.030791436131825837;Uto;593
2004;Uto;Schweiz;0.645657926389223;Uto;84
2004;Uto;Serbien;0.08395477507818139;Uto;313
2004;Uto;Sri Lanka;0.04330045706038008;Uto;462
2004;Uto;Türkei;0.025739716141448158;Uto;697
2004;Waidberg;Andere;0.10629439137888808;Waidberg;274
2004;Waidberg;Deutschland;0.028655400440852314;Waidberg;629
2004;Waidberg;Italien;0.03208425177565515;Waidberg;570
2004;Waidberg;Portugal;0.022777369581190303;Waidberg;762
2004;Waidberg;Schweiz;0.7065882929218712;Waidberg;51
2004;Waidberg;Serbien;0.06000489835904972;Waidberg;380
2004;Waidberg;Sri Lanka;0.0213078618662748;Waidberg;816
2004;Waidberg;Türkei;0.02228753367621847;Waidberg;773
2004;Zürichberg;Andere;0.10798916723087339;Zürichberg;270
2004;Zürichberg;Deutschland;0.02911306702775897;Zürichberg;626
2004;Zürichberg;Portugal;0.023019634394041977;Zürichberg;753
2004;Zürichberg;Schweiz;0.8100880162491537;Zürichberg;19
2004;Zürichberg;Serbien;0.02979011509817197;Zürichberg;613
2005;Glattal;Andere;0.12877871825876663;Glattal;226
2005;Glattal;Bosnien-Herzegowina;0.020757758968158;Glattal;831
2005;Glattal;Italien;0.04373236598145909;Glattal;458
2005;Glattal;Nordmazedonien;0.022168480451430876;Glattal;781
2005;Glattal;Portugal;0.0384925433293027;Glattal;501
2005;Glattal;Schweiz;0.5832325675130996;Glattal;101
2005;Glattal;Serbien;0.11386537686416767;Glattal;261
2005;Glattal;Sri Lanka;0.02176541717049577;Glattal;797
2005;Glattal;Türkei;0.02720677146311971;Glattal;662
