Jahr;Schulgemeinde;Bildungsart_2;students;per;esd;acs
2006;Waidberg;Sekundarstufe B;255;33.9;0.42352941176470593;20
2006;Waidberg;Sekundarstufe C;34;4.5;0.1470588235294118;11
2006;Zürichberg;Sekundarstufe A;347;76.8;0.7492795389048992;18
2006;Zürichberg;Sekundarstufe B;101;22.3;0.48514851485148514;18
2006;Zürichberg;Sekundarstufe C;4;0.9;0;2
2007;Glattal;Sekundarstufe A;594;49.8;0.5673400673400674;20
2007;Glattal;Sekundarstufe B;474;39.8;0.33755274261603374;19
2007;Glattal;Sekundarstufe C;124;10.4;0.2338709677419355;11
2007;Letzi;Sekundarstufe A;352;49.7;0.5426136363636364;20
2007;Letzi;Sekundarstufe B;298;42.1;0.24496644295302017;19
2007;Letzi;Sekundarstufe C;58;8.2;0.10344827586206895;12
2007;Limmattal;Sekundarstufe A;286;46;0.2622377622377622;19
2007;Limmattal;Sekundarstufe B;336;54;0.11011904761904767;16
2007;Schwamendingen;Sekundarstufe A;255;38.1;0.48235294117647054;19
2007;Schwamendingen;Sekundarstufe B;337;50.3;0.3204747774480712;19
2007;Schwamendingen;Sekundarstufe C;78;11.6;0.21794871794871795;11
2007;Uto;Sekundarstufe A;417;49.7;0.6282973621103117;19
2007;Uto;Sekundarstufe B;317;37.8;0.362776025236593;19
2007;Uto;Sekundarstufe C;105;12.5;0.22857142857142854;12
2007;Waidberg;Sekundarstufe A;429;60.3;0.6829836829836831;19
2007;Waidberg;Sekundarstufe B;252;35.4;0.39682539682539686;21
2007;Waidberg;Sekundarstufe C;30;4.2;0.16666666666666663;10
2007;Zürichberg;Sekundarstufe A;362;81.3;0.7320441988950277;20
2007;Zürichberg;Sekundarstufe B;80;18;0.475;14
2007;Zürichberg;Sekundarstufe C;3;0.7;0;2
2008;Glattal;Sekundarstufe A;593;49;0.5345699831365935;19
2008;Glattal;Sekundarstufe B;501;41.4;0.2914171656686627;20
2008;Glattal;Sekundarstufe C;117;9.7;0.19658119658119655;11
2008;Letzi;Sekundarstufe A;342;49.9;0.5146198830409356;19
2008;Letzi;Sekundarstufe B;284;41.5;0.25704225352112675;19
2008;Letzi;Sekundarstufe C;59;8.6;0.13559322033898302;12
2008;Limmattal;Sekundarstufe A;276;44.2;0.2753623188405797;19
2008;Limmattal;Sekundarstufe B;349;55.8;0.06590257879656158;17
2008;Schwamendingen;Sekundarstufe A;269;38.9;0.4052044609665427;19
2008;Schwamendingen;Sekundarstufe B;351;50.7;0.3162393162393162;19
2008;Schwamendingen;Sekundarstufe C;72;10.4;0.20833333333333337;10
2008;Uto;Sekundarstufe A;422;49.9;0.5947867298578199;20
2008;Uto;Sekundarstufe B;333;39.4;0.36936936936936937;20
2008;Uto;Sekundarstufe C;90;10.7;0.21111111111111114;12
2008;Waidberg;Sekundarstufe A;416;60.4;0.6778846153846154;18
2008;Waidberg;Sekundarstufe B;243;35.3;0.3374485596707819;20
2008;Waidberg;Sekundarstufe C;30;4.4;0.16666666666666663;11
2008;Zürichberg;Sekundarstufe A;388;83.6;0.7603092783505154;19
2008;Zürichberg;Sekundarstufe B;76;16.4;0.4078947368421053;10
