Jahr;Schulgemeinde;Schulart;students;per;daz;acs
2009;Limmattal;Primarschule;1588;69.9;0.8035264483627204;20
2009;Limmattal;Übergangsklassen;189;8.3;0.5608465608465608;21
2009;Schwamendingen;Kindergarten;552;22.5;0.7572463768115942;19
2009;Schwamendingen;Primarschule;1719;69.9;0.748109365910413;21
2009;Schwamendingen;Übergangsklassen;187;7.6;0.5080213903743316;21
2009;Uto;Kindergarten;785;24.4;0.3719745222929936;19
2009;Uto;Primarschule;2429;75.6;0.48085631947303414;21
2009;Waidberg;Kindergarten;858;26.3;0.31934731934731936;20
2009;Waidberg;Primarschule;2399;73.7;0.3605669028761984;22
2009;Zürichberg;Kindergarten;556;22.9;0.18705035971223022;20
2009;Zürichberg;Primarschule;1755;72.4;0.256980056980057;22
2009;Zürichberg;Übergangsklassen;114;4.7;0.2719298245614035;23
2010;Glattal;Kindergarten;1124;26.9;0.5836298932384342;19
2010;Glattal;Primarschule;3053;73.1;0.6236488699639698;21
2010;Letzi;Kindergarten;734;27.3;0.5735694822888283;20
2010;Letzi;Primarschule;1954;72.7;0.6412487205731832;21
2010;Limmattal;Kindergarten;479;21.4;0.7160751565762005;21
2010;Limmattal;Primarschule;1567;70;0.7925973197192087;19
2010;Limmattal;Übergangsklassen;193;8.6;0.5544041450777202;22
2010;Schwamendingen;Kindergarten;554;22.5;0.7454873646209387;19
2010;Schwamendingen;Primarschule;1719;69.7;0.7562536358347877;21
2010;Schwamendingen;Übergangsklassen;194;7.9;0.4948453608247423;22
2010;Uto;Kindergarten;810;25.5;0.3567901234567901;19
2010;Uto;Primarschule;2366;74.5;0.47337278106508873;20
2010;Waidberg;Kindergarten;931;27.5;0.33404940923737914;20
2010;Waidberg;Primarschule;2453;72.5;0.34896045658377495;22
2010;Zürichberg;Kindergarten;620;24.8;0.2032258064516129;21
2010;Zürichberg;Primarschule;1771;70.7;0.2546583850931677;22
2010;Zürichberg;Übergangsklassen;114;4.6;0.24561403508771928;23
2011;Glattal;Kindergarten;1125;26.2;0.5831111111111111;19
2011;Glattal;Primarschule;3169;73.8;0.615336068160303;21
2011;Letzi;Kindergarten;840;29.3;0.5797619047619048;21
2011;Letzi;Primarschule;2029;70.7;0.629866929521932;21
2011;Limmattal;Kindergarten;468;21.5;0.7029914529914529;20
2011;Limmattal;Primarschule;1518;69.8;0.7608695652173914;19
2011;Limmattal;Übergangsklassen;189;8.7;0.4973544973544973;21
2011;Schwamendingen;Kindergarten;495;20.4;0.7878787878787878;18
2011;Schwamendingen;Primarschule;1736;71.4;0.7534562211981567;20
2011;Schwamendingen;Übergangsklassen;201;8.3;0.4527363184079602;22
2011;Uto;Kindergarten;820;25.5;0.374390243902439;19
2011;Uto;Primarschule;2390;74.5;0.44937238493723847;20
2011;Waidberg;Kindergarten;963;27.8;0.2782969885773624;20
2011;Waidberg;Primarschule;2503;72.2;0.34238913304035157;22
2011;Zürichberg;Kindergarten;651;24.7;0.21812596006144394;20
2011;Zürichberg;Primarschule;1872;70.9;0.24358974358974358;22
2011;Zürichberg;Übergangsklassen;117;4.4;0.18803418803418803;24
2012;Glattal;Kindergarten;1217;27.4;0.5792933442892358;20
2012;Glattal;Primarschule;3218;72.6;0.6019266625233064;20
2012;Letzi;Kindergarten;875;30;0.5645714285714286;20
2012;Letzi;Primarschule;2046;70;0.6348973607038123;20
2012;Limmattal;Kindergarten;486;22.3;0.6460905349794238;20
2012;Limmattal;Primarschule;1501;68.9;0.7328447701532311;19
2012;Limmattal;Übergangsklassen;193;8.9;0.45077720207253885;21
2012;Schwamendingen;Kindergarten;474;19.7;0.7531645569620253;17
2012;Schwamendingen;Primarschule;1727;71.7;0.7504342790966995;19
2012;Schwamendingen;Übergangsklassen;206;8.6;0.46601941747572817;23
2012;Uto;Kindergarten;862;26.4;0.35846867749419953;20
2012;Uto;Primarschule;2397;73.6;0.43721318314559865;20
2012;Waidberg;Kindergarten;976;27.7;0.2489754098360656;20
2012;Waidberg;Primarschule;2546;72.3;0.32992930086410055;22
2012;Zürichberg;Kindergarten;645;23.9;0.19534883720930232;19
2012;Zürichberg;Primarschule;1951;72.3;0.24192721681189133;21
2012;Zürichberg;Übergangsklassen;104;3.9;0.19230769230769232;21
2013;Glattal;Kindergarten;1282;28.5;0.5514820592823713;20
2013;Glattal;Primarschule;3214;71.5;0.6039203484754201;20
2013;Letzi;Kindergarten;872;29;0.5837155963302753;19
2013;Letzi;Primarschule;2132;71;0.6083489681050657;20
2013;Limmattal;Kindergarten;518;23.1;0.6196911196911197;21
2013;Limmattal;Primarschule;1510;67.3;0.7066225165562914;20
2013;Limmattal;Übergangsklassen;215;9.6;0.4511627906976744;24
2013;Schwamendingen;Kindergarten;456;18.8;0.75;17
2013;Schwamendingen;Primarschule;1762;72.7;0.7457434733257662;20
2013;Schwamendingen;Übergangsklassen;205;8.5;0.44878048780487806;23
2013;Uto;Kindergarten;948;28;0.31645569620253167;21
2013;Uto;Primarschule;2433;72;0.4130702836004932;21
2013;Waidberg;Kindergarten;1008;27.8;0.2490079365079365;21
2013;Waidberg;Primarschule;2624;72.2;0.31364329268292684;22
2013;Zürichberg;Kindergarten;655;23.4;0.17557251908396945;20
2013;Zürichberg;Primarschule;2017;72.2;0.23797719385225583;21
2013;Zürichberg;Übergangsklassen;123;4.4;0.2682926829268293;25
2014;Glattal;Kindergarten;1354;29.2;0.5709010339734121;20
2014;Glattal;Primarschule;3283;70.8;0.5863539445628998;20
2014;Letzi;Kindergarten;899;29.2;0.5461624026696329;19
2014;Letzi;Primarschule;2178;70.8;0.5950413223140496;20
2014;Limmattal;Kindergarten;720;30.2;0.5666666666666667;20
2014;Limmattal;Primarschule;1661;69.8;0.6670680313064419;20
2014;Schwamendingen;Kindergarten;628;26;0.7006369426751592;18
2014;Schwamendingen;Primarschule;1785;74;0.7215686274509804;19
2014;Uto;Kindergarten;1010;28.6;0.3198019801980198;20
2014;Uto;Primarschule;2522;71.4;0.3901665344964314;21
2014;Waidberg;Kindergarten;1084;28.3;0.2333948339483395;20
2014;Waidberg;Primarschule;2748;71.7;0.28857350800582243;22
2014;Zürichberg;Kindergarten;777;26.4;0.2059202059202059;21
2014;Zürichberg;Primarschule;2161;73.6;0.22859787135585377;22
2015;Glattal;Kindergarten;1434;30.1;0.5655509065550907;20
2015;Glattal;Primarschule;3328;69.9;0.5715144230769231;21
2015;Letzi;Kindergarten;977;30.3;0.5117707267144319;20
2015;Letzi;Primarschule;2243;69.7;0.5867142220240749;20
2015;Limmattal;Kindergarten;728;30.2;0.5192307692307693;19
2015;Limmattal;Primarschule;1684;69.8;0.6365795724465558;20
2015;Schwamendingen;Kindergarten;674;26.3;0.6676557863501483;18
2015;Schwamendingen;Primarschule;1886;73.7;0.6993637327677624;20
2015;Uto;Kindergarten;1043;28.3;0.3202301054650048;20
2015;Uto;Primarschule;2640;71.7;0.3613636363636364;21
2015;Waidberg;Kindergarten;1148;28.7;0.24477351916376305;21
2015;Waidberg;Primarschule;2847;71.3;0.2792413066385669;22
2015;Zürichberg;Kindergarten;785;26.1;0.2178343949044586;20
2015;Zürichberg;Primarschule;2220;73.9;0.21756756756756757;22
2016;Glattal;Kindergarten;1483;29.6;0.5772083614295347;20
2016;Glattal;Primarschule;3520;70.4;0.571590909090909;21
2016;Letzi;Kindergarten;988;29.8;0.5273279352226721;20
2016;Letzi;Primarschule;2327;70.2;0.5659647614954878;20
2016;Limmattal;Kindergarten;750;30.4;0.484;19
2016;Limmattal;Primarschule;1717;69.6;0.6068724519510774;20
2016;Schwamendingen;Kindergarten;663;25.6;0.6349924585218703;19
2016;Schwamendingen;Primarschule;1929;74.4;0.6905132192846034;19
