Jahr;Schulgemeinde;Bildungsart_2;students;per;daz;acs
2006;Zürichberg;Sekundarstufe B;101;22.3;0.5148514851485149;18
2006;Zürichberg;Sekundarstufe C;4;0.9;1;2
2007;Glattal;Sekundarstufe A;594;49.8;0.43265993265993263;20
2007;Glattal;Sekundarstufe B;474;39.8;0.6624472573839663;19
2007;Glattal;Sekundarstufe C;124;10.4;0.7661290322580645;11
2007;Letzi;Sekundarstufe A;352;49.7;0.45738636363636365;20
2007;Letzi;Sekundarstufe B;298;42.1;0.7550335570469798;19
2007;Letzi;Sekundarstufe C;58;8.2;0.896551724137931;12
2007;Limmattal;Sekundarstufe A;286;46;0.7377622377622378;19
2007;Limmattal;Sekundarstufe B;336;54;0.8898809523809523;16
2007;Schwamendingen;Sekundarstufe A;255;38.1;0.5176470588235295;19
2007;Schwamendingen;Sekundarstufe B;337;50.3;0.6795252225519288;19
2007;Schwamendingen;Sekundarstufe C;78;11.6;0.782051282051282;11
2007;Uto;Sekundarstufe A;417;49.7;0.37170263788968827;19
2007;Uto;Sekundarstufe B;317;37.8;0.637223974763407;19
2007;Uto;Sekundarstufe C;105;12.5;0.7714285714285715;12
2007;Waidberg;Sekundarstufe A;429;60.3;0.317016317016317;19
2007;Waidberg;Sekundarstufe B;252;35.4;0.6031746031746031;21
2007;Waidberg;Sekundarstufe C;30;4.2;0.8333333333333334;10
2007;Zürichberg;Sekundarstufe A;362;81.3;0.26795580110497236;20
2007;Zürichberg;Sekundarstufe B;80;18;0.525;14
2007;Zürichberg;Sekundarstufe C;3;0.7;1;2
2008;Glattal;Sekundarstufe A;593;49;0.4654300168634064;19
2008;Glattal;Sekundarstufe B;501;41.4;0.7085828343313373;20
2008;Glattal;Sekundarstufe C;117;9.7;0.8034188034188035;11
2008;Letzi;Sekundarstufe A;342;49.9;0.4853801169590643;19
2008;Letzi;Sekundarstufe B;284;41.5;0.7429577464788732;19
2008;Letzi;Sekundarstufe C;59;8.6;0.864406779661017;12
2008;Limmattal;Sekundarstufe A;276;44.2;0.7246376811594203;19
2008;Limmattal;Sekundarstufe B;349;55.8;0.9340974212034384;17
2008;Schwamendingen;Sekundarstufe A;269;38.9;0.5947955390334573;19
2008;Schwamendingen;Sekundarstufe B;351;50.7;0.6837606837606838;19
2008;Schwamendingen;Sekundarstufe C;72;10.4;0.7916666666666666;10
2008;Uto;Sekundarstufe A;422;49.9;0.4052132701421801;20
2008;Uto;Sekundarstufe B;333;39.4;0.6306306306306306;20
2008;Uto;Sekundarstufe C;90;10.7;0.7888888888888889;12
2008;Waidberg;Sekundarstufe A;416;60.4;0.32211538461538464;18
