Jahr;Schulgemeinde;Land;country_n;per_n;rank;diff_c
2000;Waidberg;Bosnien-Herzegowina;56;0.014252990582845508;920;23
2000;Waidberg;Deutschland;55;0.013998472893866123;929;23
2000;Waidberg;Frankreich;6;0.0015271061338763044;3495;23
2000;Waidberg;Griechenland;26;0.006617459913463986;1437;23
2000;Waidberg;Italien;170;0.04326800712649529;344;23
2000;Waidberg;Kroatien;39;0.009926189870195978;1140;23
2000;Waidberg;Mittel- und Südamerika;61;0.015525579027742428;868;23
2000;Waidberg;Nord-/Westeuropa;15;0.003817765334690761;1955;23
2000;Waidberg;Nordamerika;8;0.0020361415118350726;2923;23
2000;Waidberg;Nordmazedonien;53;0.013489437515907355;948;23
2000;Waidberg;Österreich;6;0.0015271061338763044;3495;23
2000;Waidberg;Portugal;97;0.024688215831000254;557;23
2000;Waidberg;Schweiz;2615;0.6655637566810894;64;23
2000;Waidberg;Serbien;235;0.059811656910155254;233;23
2000;Waidberg;Slowenien;6;0.0015271061338763044;3495;23
2000;Waidberg;Spanien;80;0.020361415118350726;673;23
2000;Waidberg;Sri Lanka;1;2.5451768897938407e-4;7272;23
2000;Waidberg;Staat unbekannt;6;0.0015271061338763044;3495;23
2000;Waidberg;Süd-/Osteuropa;52;0.013234919826927972;963;23
2000;Waidberg;Türkei;134;0.03410537032323747;418;23
2000;Zürichberg;Afrika;13;0.004484304932735426;2166;21
2000;Zürichberg;Asien;53;0.018282166264229044;948;21
2000;Zürichberg;Bosnien-Herzegowina;20;0.006898930665746809;1650;21
2000;Zürichberg;Deutschland;46;0.01586754053121766;1035;21
2000;Zürichberg;Frankreich;7;0.002414625733011383;3180;21
2000;Zürichberg;Griechenland;4;0.0013797861331493618;4399;21
2000;Zürichberg;Italien;49;0.016902380131079683;990;21
2000;Zürichberg;Kroatien;24;0.008278716798896172;1503;21
2000;Zürichberg;Mittel- und Südamerika;21;0.0072438771990341495;1608;21
2000;Zürichberg;Nord-/Westeuropa;19;0.006553984132459468;1693;21
2000;Zürichberg;Nordamerika;8;0.0027595722662987236;2923;21
2000;Zürichberg;Nordmazedonien;18;0.006209037599172128;1748;21
2000;Zürichberg;Österreich;15;0.005174197999310107;1955;21
2000;Zürichberg;Portugal;52;0.017937219730941704;963;21
2000;Zürichberg;Schweiz;2356;0.8126940324249742;79;21
2000;Zürichberg;Serbien;115;0.03966885132804415;472;21
2000;Zürichberg;Slowenien;2;6.898930665746809e-4;5887;21
2000;Zürichberg;Spanien;34;0.011728182131769576;1242;21
2000;Zürichberg;Staat unbekannt;3;0.0010348395998620215;5028;21
2000;Zürichberg;Süd-/Osteuropa;17;0.005864091065884788;1816;21
2000;Zürichberg;Türkei;23;0.00793377026560883;1532;21
2001;Glattal;Afghanistan;14;0.0028765153071707416;2063;81
2001;Glattal;Afrika;4;8.218615163344976e-4;4399;81
2001;Glattal;Ägypten;3;6.163961372508733e-4;5028;81
2001;Glattal;Albanien;3;6.163961372508733e-4;5028;81
2001;Glattal;Algerien;3;6.163961372508733e-4;5028;81
2001;Glattal;Angola;12;0.002465584549003493;2274;81
2001;Glattal;Argentinien;2;4.109307581672488e-4;5887;81
2001;Glattal;Armenien;4;8.218615163344976e-4;4399;81
2001;Glattal;Aserbaidschan;1;2.054653790836244e-4;7272;81
2001;Glattal;Äthiopien;1;2.054653790836244e-4;7272;81
2001;Glattal;Australien;3;6.163961372508733e-4;5028;81
2001;Glattal;Bolivien;2;4.109307581672488e-4;5887;81
2001;Glattal;Bosnien-Herzegowina;124;0.025477707006369428;444;81
2001;Glattal;Brasilien;11;0.0022601191699198686;2428;81
2001;Glattal;Bulgarien;6;0.0012327922745017466;3495;81
2001;Glattal;Chile;6;0.0012327922745017466;3495;81
2001;Glattal;China;9;0.0018491884117526197;2733;81
2001;Glattal;Deutschland;42;0.008629545921512225;1092;81
2001;Glattal;Dominikanische Republik;13;0.002671049928087117;2166;81
2001;Glattal;Ecuador;4;8.218615163344976e-4;4399;81
2001;Glattal;Eritrea;1;2.054653790836244e-4;7272;81
2001;Glattal;Finnland;6;0.0012327922745017466;3495;81
2001;Glattal;Frankreich;4;8.218615163344976e-4;4399;81
2001;Glattal;Georgien;4;8.218615163344976e-4;4399;81
2001;Glattal;Ghana;4;8.218615163344976e-4;4399;81
2001;Glattal;Griechenland;15;0.003081980686254366;1955;81
2001;Glattal;Guatemala;2;4.109307581672488e-4;5887;81
2001;Glattal;Haiti;1;2.054653790836244e-4;7272;81
2001;Glattal;Indien;26;0.005342099856174234;1437;81
2001;Glattal;Irak;18;0.0036983768235052394;1748;81
2001;Glattal;Iran;22;0.004520238339839737;1559;81
2001;Glattal;Italien;268;0.055064721594411344;200;81
2001;Glattal;Japan;1;2.054653790836244e-4;7272;81
2001;Glattal;Jordanien;2;4.109307581672488e-4;5887;81
2001;Glattal;Kambodscha;1;2.054653790836244e-4;7272;81
2001;Glattal;Kamerun;1;2.054653790836244e-4;7272;81
2001;Glattal;Kanada;1;2.054653790836244e-4;7272;81
2001;Glattal;Kenya;2;4.109307581672488e-4;5887;81
2001;Glattal;Kolumbien;7;0.0014382576535853708;3180;81
2001;Glattal;Kongo (Brazzaville);3;6.163961372508733e-4;5028;81
2001;Glattal;Korea (Süd-);5;0.001027326895418122;3919;81
2001;Glattal;Kroatien;84;0.01725909184302445;644;81
2001;Glattal;Kuba;1;2.054653790836244e-4;7272;81
2001;Glattal;Libanon;5;0.001027326895418122;3919;81
2001;Glattal;Liberia;1;2.054653790836244e-4;7272;81
2001;Glattal;Libyen;1;2.054653790836244e-4;7272;81
2001;Glattal;Luxemburg;1;2.054653790836244e-4;7272;81
2001;Glattal;Malaysia;2;4.109307581672488e-4;5887;81
2001;Glattal;Marokko;1;2.054653790836244e-4;7272;81
2001;Glattal;Mittel- und Südamerika;2;4.109307581672488e-4;5887;81
2001;Glattal;Niederlande;3;6.163961372508733e-4;5028;81
2001;Glattal;Nigeria;1;2.054653790836244e-4;7272;81
2001;Glattal;Nordmazedonien;108;0.022190260941031437;496;81
2001;Glattal;Österreich;12;0.002465584549003493;2274;81
2001;Glattal;Pakistan;9;0.0018491884117526197;2733;81
2001;Glattal;Palästina;2;4.109307581672488e-4;5887;81
2001;Glattal;Peru;7;0.0014382576535853708;3180;81
2001;Glattal;Philippinen;11;0.0022601191699198686;2428;81
2001;Glattal;Polen;12;0.002465584549003493;2274;81
2001;Glattal;Portugal;153;0.031436202999794535;372;81
2001;Glattal;Rumänien;1;2.054653790836244e-4;7272;81
2001;Glattal;Russland;13;0.002671049928087117;2166;81
2001;Glattal;Rwanda;1;2.054653790836244e-4;7272;81
2001;Glattal;Schweiz;2780;0.5711937538524758;52;81
2001;Glattal;Serbien;595;0.12225190055475653;139;81
2001;Glattal;Slowenien;1;2.054653790836244e-4;7272;81
2001;Glattal;Somalia;14;0.0028765153071707416;2063;81
2001;Glattal;Spanien;76;0.015615368810355456;703;81
2001;Glattal;Sri Lanka;90;0.018491884117526197;602;81
2001;Glattal;Süd-/Osteuropa;4;8.218615163344976e-4;4399;81
2001;Glattal;Taiwan;1;2.054653790836244e-4;7272;81
2001;Glattal;Thailand;10;0.002054653790836244;2565;81
2001;Glattal;Tschechische Republik;2;4.109307581672488e-4;5887;81
2001;Glattal;Tunesien;5;0.001027326895418122;3919;81
2001;Glattal;Türkei;181;0.037189233614136015;321;81
2001;Glattal;Ukraine;4;8.218615163344976e-4;4399;81
2001;Glattal;Ungarn;1;2.054653790836244e-4;7272;81
2001;Glattal;Venezuela;1;2.054653790836244e-4;7272;81
2001;Glattal;Vereinigte Staaten;3;6.163961372508733e-4;5028;81
2001;Glattal;Vietnam;6;0.0012327922745017466;3495;81
2001;Glattal;Zimbabwe;1;2.054653790836244e-4;7272;81
2001;Letzi;Afghanistan;3;8.47457627118644e-4;5028;66
2001;Letzi;Afrika;2;5.649717514124294e-4;5887;66
2001;Letzi;Albanien;3;8.47457627118644e-4;5028;66
2001;Letzi;Algerien;2;5.649717514124294e-4;5887;66
2001;Letzi;Angola;12;0.003389830508474576;2274;66
2001;Letzi;Argentinien;5;0.0014124293785310734;3919;66
2001;Letzi;Äthiopien;2;5.649717514124294e-4;5887;66
2001;Letzi;Bangladesh;1;2.824858757062147e-4;7272;66
2001;Letzi;Belgien;2;5.649717514124294e-4;5887;66
2001;Letzi;Bolivien;3;8.47457627118644e-4;5028;66
2001;Letzi;Bosnien-Herzegowina;68;0.0192090395480226;790;66
2001;Letzi;Brasilien;13;0.003672316384180791;2166;66
2001;Letzi;Bulgarien;1;2.824858757062147e-4;7272;66
2001;Letzi;Chile;3;8.47457627118644e-4;5028;66
2001;Letzi;China;5;0.0014124293785310734;3919;66
2001;Letzi;Dänemark;1;2.824858757062147e-4;7272;66
2001;Letzi;Deutschland;23;0.0064971751412429375;1532;66
