Jahr;Schulgemeinde;Schulart;students;per;esd;acs
2006;Uto;Übergangsklassen;45;1.4;0.24444444444444446;12
2006;Waidberg;Kindergarten;811;25.8;0.6288532675709001;18
2006;Waidberg;Primarschule;2292;73;0.6483420593368238;21
2006;Waidberg;Übergangsklassen;38;1.2;0.23684210526315785;10
2006;Zürichberg;Kindergarten;463;20.5;0.755939524838013;16
2006;Zürichberg;Primarschule;1716;76;0.752913752913753;22
2006;Zürichberg;Übergangsklassen;78;3.5;0.7692307692307692;21
2007;Glattal;Kindergarten;1040;27.4;0.3682692307692308;18
2007;Glattal;Primarschule;2708;71.3;0.4165435745937962;22
2007;Glattal;Übergangsklassen;50;1.3;0.16000000000000003;13
2007;Letzi;Kindergarten;666;26.4;0.33933933933933935;19
2007;Letzi;Primarschule;1841;72.9;0.3894622487778381;21
2007;Letzi;Übergangsklassen;18;0.7;0.2222222222222222;9
2007;Limmattal;Kindergarten;451;20.6;0.2039911308203991;18
2007;Limmattal;Primarschule;1536;70;0.1875;19
2007;Limmattal;Übergangsklassen;207;9.4;0.3285024154589372;20
2007;Schwamendingen;Kindergarten;489;21.3;0.19836400817995914;17
2007;Schwamendingen;Primarschule;1634;71.3;0.2717258261933905;20
2007;Schwamendingen;Übergangsklassen;169;7.4;0.4674556213017751;20
2007;Uto;Kindergarten;766;24.3;0.5639686684073106;18
2007;Uto;Primarschule;2354;74.5;0.5382327952421411;21
2007;Uto;Übergangsklassen;38;1.2;0.26315789473684215;10
2007;Waidberg;Kindergarten;810;25.4;0.6481481481481481;19
2007;Waidberg;Primarschule;2350;73.6;0.64;22
2007;Waidberg;Übergangsklassen;32;1;0.28125;8
2007;Zürichberg;Kindergarten;468;20.6;0.7264957264957265;18
2007;Zürichberg;Primarschule;1703;75.1;0.7580739870816207;21
2007;Zürichberg;Übergangsklassen;96;4.2;0.75;21
2008;Glattal;Kindergarten;1043;26.9;0.39405560882070945;17
2008;Glattal;Primarschule;2797;72.1;0.39792634966035034;22
2008;Glattal;Übergangsklassen;41;1.1;0.09756097560975607;11
2008;Letzi;Kindergarten;700;27.5;0.37142857142857144;19
2008;Letzi;Primarschule;1823;71.7;0.3806911684037301;20
2008;Letzi;Übergangsklassen;18;0.7;0.2222222222222222;9
2008;Limmattal;Kindergarten;472;21.3;0.21610169491525422;20
2008;Limmattal;Primarschule;1551;70;0.19213410702772404;19
2008;Limmattal;Übergangsklassen;193;8.7;0.40414507772020725;22
2008;Schwamendingen;Kindergarten;530;22.8;0.21320754716981127;18
2008;Schwamendingen;Primarschule;1656;71.1;0.26690821256038644;20
2008;Schwamendingen;Übergangsklassen;142;6.1;0.5;19
2008;Uto;Kindergarten;753;23.8;0.5630810092961487;18
2008;Uto;Primarschule;2382;75.2;0.5382031905961377;21
2008;Uto;Übergangsklassen;31;1;0.25806451612903225;10
2008;Waidberg;Kindergarten;826;25.9;0.6912832929782082;19
2008;Waidberg;Primarschule;2335;73.1;0.6269807280513919;22
2008;Waidberg;Übergangsklassen;34;1.1;0.23529411764705888;10
2008;Zürichberg;Kindergarten;506;22.1;0.7312252964426877;19
2008;Zürichberg;Primarschule;1676;73.3;0.7511933174224343;21
2008;Zürichberg;Übergangsklassen;104;4.5;0.6634615384615384;23
2009;Glattal;Kindergarten;1052;26.2;0.41730038022813687;19
2009;Glattal;Primarschule;2967;73.8;0.38523761375126386;21
2009;Letzi;Kindergarten;705;27.1;0.41985815602836885;19
2009;Letzi;Primarschule;1896;72.9;0.3554852320675106;21
2009;Limmattal;Kindergarten;494;21.8;0.24291497975708498;23
2009;Limmattal;Primarschule;1588;69.9;0.19647355163727964;20
2009;Limmattal;Übergangsklassen;189;8.3;0.4391534391534392;21
2009;Schwamendingen;Kindergarten;552;22.5;0.24275362318840576;19
2009;Schwamendingen;Primarschule;1719;69.9;0.251890634089587;21
2009;Schwamendingen;Übergangsklassen;187;7.6;0.4919786096256684;21
2009;Uto;Kindergarten;785;24.4;0.6280254777070065;19
2009;Uto;Primarschule;2429;75.6;0.5191436805269658;21
